FID,Id,gridcode,Persistence,Variable,Area
0,1,402,40,Variable 2,25.000000000000000
1,2,302,30,Variable 2,25.000000000000000
2,3,302,30,Variable 2,25.000000000000000
3,4,402,40,Variable 2,25.000000000000000
4,5,402,40,Variable 2,125.000000000000000
5,6,502,50,Variable 2,50.000000000000000
6,7,302,30,Variable 2,25.000000000000000
7,8,302,30,Variable 2,50.000000000000000
8,9,402,40,Variable 2,50.000000000000000
9,10,502,50,Variable 2,50.000000000000000
10,11,402,40,Variable 2,25.000000000000000
11,12,201,20,Variable 1,25.000000000000000
12,13,402,40,Variable 2,25.000000000000000
13,14,502,50,Variable 2,75.000000000000000
14,15,402,40,Variable 2,25.000000000000000
15,16,504,50,Variable 4,50.000000000000000
16,17,302,30,Variable 2,100.000000000000000
17,18,153,15,Variable 3,150.000000000000000
18,19,203,20,Variable 3,100.000000000000000
19,20,504,50,Variable 4,25.000000000000000
20,21,502,50,Variable 2,75.000000000000000
21,22,404,40,Variable 4,25.000000000000000
22,23,202,20,Variable 2,25.000000000000000
23,24,404,40,Variable 4,50.000000000000000
24,25,404,40,Variable 4,25.000000000000000
25,26,404,40,Variable 4,50.000000000000000
26,27,402,40,Variable 2,50.000000000000000
27,28,404,40,Variable 4,25.000000000000000
28,29,404,40,Variable 4,275.000000000000000
29,30,402,40,Variable 2,275.000000000000000
30,31,404,40,Variable 4,75.000000000000000
31,32,153,15,Variable 3,25.000000000000000
32,33,502,50,Variable 2,125.000000000000000
33,34,502,50,Variable 2,75.000000000000000
34,35,302,30,Variable 2,250.000000000000000
35,36,402,40,Variable 2,150.000000000000000
36,37,502,50,Variable 2,25.000000000000000
37,38,502,50,Variable 2,25.000000000000000
38,39,304,30,Variable 4,50.000000000000000
39,40,404,40,Variable 4,175.000000000000000
40,41,402,40,Variable 2,25.000000000000000
41,42,502,50,Variable 2,275.000000000000000
42,43,402,40,Variable 2,75.000000000000000
43,44,304,30,Variable 4,25.000000000000000
44,45,504,50,Variable 4,25.000000000000000
45,46,201,20,Variable 1,50.000000000000000
46,47,504,50,Variable 4,25.000000000000000
47,48,203,20,Variable 3,50.000000000000000
48,49,502,50,Variable 2,50.000000000000000
49,50,204,20,Variable 4,25.000000000000000
50,51,201,20,Variable 1,25.000000000000000
51,52,304,30,Variable 4,125.000000000000000
52,53,404,40,Variable 4,100.000000000000000
53,54,402,40,Variable 2,25.000000000000000
54,55,402,40,Variable 2,50.000000000000000
55,56,502,50,Variable 2,25.000000000000000
56,57,402,40,Variable 2,25.000000000000000
57,58,502,50,Variable 2,25.000000000000000
58,59,403,40,Variable 3,25.000000000000000
59,60,303,30,Variable 3,25.000000000000000
60,61,204,20,Variable 4,25.000000000000000
61,62,151,15,Variable 1,25.000000000000000
62,63,404,40,Variable 4,25.000000000000000
63,64,153,15,Variable 3,25.000000000000000
64,65,203,20,Variable 3,25.000000000000000
65,66,204,20,Variable 4,125.000000000000000
66,67,304,30,Variable 4,275.000000000000000
67,68,201,20,Variable 1,75.000000000000000
68,69,304,30,Variable 4,50.000000000000000
69,70,304,30,Variable 4,75.000000000000000
70,71,504,50,Variable 4,25.000000000000000
71,72,153,15,Variable 3,50.000000000000000
72,73,502,50,Variable 2,75.000000000000000
73,74,204,20,Variable 4,50.000000000000000
74,75,204,20,Variable 4,25.000000000000000
75,76,151,15,Variable 1,25.000000000000000
76,77,304,30,Variable 4,50.000000000000000
77,78,404,40,Variable 4,25.000000000000000
78,79,504,50,Variable 4,25.000000000000000
79,80,502,50,Variable 2,50.000000000000000
80,81,204,20,Variable 4,25.000000000000000
81,82,204,20,Variable 4,500.000000000000000
82,83,204,20,Variable 4,1350.000000000000000
83,84,201,20,Variable 1,25.000000000000000
84,85,201,20,Variable 1,50.000000000000000
85,86,404,40,Variable 4,75.000000000000000
86,87,504,50,Variable 4,25.000000000000000
87,88,153,15,Variable 3,25.000000000000000
88,89,203,20,Variable 3,125.000000000000000
89,90,402,40,Variable 2,75.000000000000000
90,91,502,50,Variable 2,25.000000000000000
91,92,304,30,Variable 4,25.000000000000000
92,93,302,30,Variable 2,25.000000000000000
93,94,304,30,Variable 4,4175.000000000000000
94,95,201,20,Variable 1,25.000000000000000
95,96,151,15,Variable 1,25.000000000000000
96,97,151,15,Variable 1,450.000000000000000
97,98,304,30,Variable 4,50.000000000000000
98,99,404,40,Variable 4,75.000000000000000
99,100,504,50,Variable 4,100.000000000000000
100,101,402,40,Variable 2,25.000000000000000
101,102,502,50,Variable 2,25.000000000000000
102,103,402,40,Variable 2,25.000000000000000
103,104,203,20,Variable 3,25.000000000000000
104,105,402,40,Variable 2,25.000000000000000
105,106,403,40,Variable 3,25.000000000000000
106,107,303,30,Variable 3,25.000000000000000
107,108,502,50,Variable 2,250.000000000000000
108,109,304,30,Variable 4,50.000000000000000
109,110,204,20,Variable 4,50.000000000000000
110,111,201,20,Variable 1,25.000000000000000
111,112,201,20,Variable 1,50.000000000000000
112,113,204,20,Variable 4,1300.000000000000000
113,114,151,15,Variable 1,50.000000000000000
114,115,153,15,Variable 3,100.000000000000000
115,116,402,40,Variable 2,25.000000000000000
116,117,502,50,Variable 2,25.000000000000000
117,118,502,50,Variable 2,25.000000000000000
118,119,402,40,Variable 2,25.000000000000000
119,120,203,20,Variable 3,50.000000000000000
120,121,502,50,Variable 2,250.000000000000000
121,122,204,20,Variable 4,75.000000000000000
122,123,204,20,Variable 4,125.000000000000000
123,124,204,20,Variable 4,150.000000000000000
124,125,304,30,Variable 4,25.000000000000000
125,126,404,40,Variable 4,125.000000000000000
126,127,402,40,Variable 2,50.000000000000000
127,128,502,50,Variable 2,175.000000000000000
128,129,402,40,Variable 2,25.000000000000000
129,130,402,40,Variable 2,25.000000000000000
130,131,502,50,Variable 2,25.000000000000000
131,132,502,50,Variable 2,25.000000000000000
132,133,402,40,Variable 2,25.000000000000000
133,134,203,20,Variable 3,25.000000000000000
134,135,203,20,Variable 3,25.000000000000000
135,136,204,20,Variable 4,50.000000000000000
136,137,201,20,Variable 1,25.000000000000000
137,138,204,20,Variable 4,25.000000000000000
138,139,153,15,Variable 3,75.000000000000000
139,140,304,30,Variable 4,475.000000000000000
140,141,304,30,Variable 4,25.000000000000000
141,142,304,30,Variable 4,25.000000000000000
142,143,404,40,Variable 4,50.000000000000000
143,144,402,40,Variable 2,25.000000000000000
144,145,203,20,Variable 3,100.000000000000000
145,146,402,40,Variable 2,75.000000000000000
146,147,502,50,Variable 2,25.000000000000000
147,148,502,50,Variable 2,25.000000000000000
148,149,203,20,Variable 3,25.000000000000000
